date,year,month,ipca
2021-01-01,2021,1,0.25
2021-02-01,2021,2,0.86
2021-03-01,2021,3,0.93
2021-04-01,2021,4,0.31
2021-05-01,2021,5,0.83
2021-06-01,2021,6,0.53
2021-07-01,2021,7,0.96
2021-08-01,2021,8,0.87
2021-09-01,2021,9,1.16
2021-10-01,2021,10,1.25
2021-11-01,2021,11,0.95
2021-12-01,2021,12,0.73
2022-01-01,2022,1,0.54
2022-02-01,2022,2,1.01
2022-03-01,2022,3,1.62
2022-04-01,2022,4,1.06
2022-05-01,2022,5,0.47
2022-06-01,2022,6,0.67
2022-07-01,2022,7,-0.68
2022-08-01,2022,8,-0.36
2022-09-01,2022,9,-0.29
2022-10-01,2022,10,0.59
2022-11-01,2022,11,0.41
2022-12-01,2022,12,0.62
2023-01-01,2023,1,0.53
2023-02-01,2023,2,0.84
2023-03-01,2023,3,0.71
2023-04-01,2023,4,0.61
2023-05-01,2023,5,0.23
2023-06-01,2023,6,-0.08
2023-07-01,2023,7,0.12
2023-08-01,2023,8,0.23
2023-09-01,2023,9,0.26
2023-10-01,2023,10,0.24
2023-11-01,2023,11,0.28
2023-12-01,2023,12,0.56
2024-01-01,2024,1,0.42
2024-02-01,2024,2,0.83
2024-03-01,2024,3,0.16
2024-04-01,2024,4,0.38
2024-05-01,2024,5,0.46
2024-06-01,2024,6,0.21
2024-07-01,2024,7,0.38
2024-08-01,2024,8,-0.02
2024-09-01,2024,9,0.44
2024-10-01,2024,10,0.56
2024-11-01,2024,11,0.39
2024-12-01,2024,12,0.52
2025-01-01,2025,1,0.16
2025-02-01,2025,2,1.31
2025-03-01,2025,3,0.56
2025-04-01,2025,4,0.43
2025-05-01,2025,5,0.26
2025-06-01,2025,6,0.24
2025-07-01,2025,7,0.26
2025-08-01,2025,8,-0.11
2025-09-01,2025,9,0.48
2025-10-01,2025,10,0.09
2025-11-01,2025,11,0.18
2025-12-01,2025,12,0.33
2026-01-01,2026,1,0.33
